canonical_term,category,official_sources,source_documents,source_count,ra,aliases,confidence,manually_reviewed,safe_for_tutor,safe_for_examiner,official_grading_authority,notes,quality_flags
Aglianico del Vulture,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.138""]",[],high,false,true,false,false,"Matched official PDF pages: 13 | Matched official PDF pages: 138, 206",[]
Alsace Grand Cru,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.101""]",[],high,false,true,false,false,"Matched official PDF pages: 12 | Matched official PDF pages: 101, 206",[]
Amarone della Valpolicella,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.132""]",[],high,false,true,false,false,"Matched official PDF pages: 13, 24 | Matched official PDF pages: 132, 206",[]
Anjou,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.104""]",[],high,false,true,false,false,"Matched official PDF pages: 12, 28 | Matched official PDF pages: 104, 105, 106, 107, 206, 208",[]
Asti,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.133""]",[],high,false,true,false,false,"Matched official PDF pages: 13, 18, 19, 25 | Matched official PDF pages: 133, 134, 186, 191, 206",[]
Bandol,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.116""]",[],high,false,true,false,false,"Matched official PDF pages: 12 | Matched official PDF pages: 116, 206",[]
Barbaresco,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.133""]",[],high,false,true,false,false,"Matched official PDF pages: 13, 24 | Matched official PDF pages: 133, 206",[]
Barbera d’Asti,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.133""]","[""Barbera d’Asti""]",high,false,true,false,false,"Matched official PDF pages: 13 | Matched official PDF pages: 133, 206","[""conflicting_confidence"", ""needs_human_review"", ""possible_ocr_issue""]"
Barolo,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.130""]",[],high,false,true,false,false,"Matched official PDF pages: 13, 24 | Matched official PDF pages: 130, 133",[]
Barsac,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.91""]",[],high,false,true,false,false,"Matched official PDF pages: 12, 23 | Matched official PDF pages: 91, 206",[]
Beaujolais Villages,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.99""]",[],high,false,true,false,false,"Matched official PDF pages: 12, 23 | Matched official PDF pages: 99, 100, 206",[]
Bergerac,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.92""]",[],high,false,true,false,false,"Matched official PDF pages: 12 | Matched official PDF pages: 92, 206",[]
Bolgheri,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.136""]",[],high,false,true,false,false,"Matched official PDF pages: 13 | Matched official PDF pages: 136, 206",[]
Bordeaux Supérieur,appellation,"[""specification"", ""study-guide""]","[""WSET_L3_Specification_Official_2026.pdf"", ""WSET_L3_Study_Guide_Official_2026.pdf""]",2,"[""RA2"", ""Study Guide p.89""]","[""Bordeaux Superieur""]",high,false,true,false,false,"Matched official PDF pages: 12 | Matched official PDF pages: 89, 206","[""conflicting_confidence"", ""needs_human_review"", ""possible_ocr_issue""]"
