canonical_term,category,official_source,source_document,duplicate_term,ambiguous_category,low_confidence_extraction,possible_ocr_issue,details
Aglianico del Vulture,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Aglianico del Vulture,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Alsace Grand Cru,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Alsace Grand Cru,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Amarone della Valpolicella,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Amarone della Valpolicella,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Anjou,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Anjou,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Asti,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Asti,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Bandol,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Bandol,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Barbaresco,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Barbaresco,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Barbera d’Asti,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Barbera d’Asti,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,true,duplicate_term; possible_ocr_issue: Barbera d’Asti
Barolo,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Barolo,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Barsac,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Barsac,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Beaujolais Villages,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Beaujolais Villages,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Bergerac,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Bergerac,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Bolgheri,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Bolgheri,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Bordeaux Supérieur,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Bordeaux Supérieur,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,true,duplicate_term; possible_ocr_issue: Bordeaux Superieur
Bourgogne,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Bourgogne,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Bourgueil,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Bourgueil,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Brouilly,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
Brouilly,appellation,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,true,false,false,false,duplicate_term
Brunello di Montalcino,appellation,specification,WSET_L3_Specification_Official_2026.pdf,true,false,false,false,duplicate_term
