video_id,video_title,video_url,channel_name,duration,upload_date,playlist_ids,playlist_titles,playlist_urls,playlist_positions
-Enx7PlS3Yg,Grape Varieties - Sangiovese Advanced Level ideal for WSET Level 3 and Level 4 (WSET Diploma),https://www.youtube.com/watch?v=-Enx7PlS3Yg,Wine With Jimmy,1276,,PLHvqIB13xXh16S0NK1AtPda47MTQeLO23,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties,https://youtube.com/playlist?list=PLHvqIB13xXh16S0NK1AtPda47MTQeLO23&si=QBbCj4ykYauLHVBc,
-JEzspOn34o,Sweet food and wine pairing for WSET,https://www.youtube.com/watch?v=-JEzspOn34o,Wine With Jimmy,489,,PLHvqIB13xXh2LYc0V3PME6RSYirmhZ0j3,Understanding WSET Level 3 Wine Theory,https://youtube.com/playlist?list=PLHvqIB13xXh2LYc0V3PME6RSYirmhZ0j3&si=ijlTv4liJ4NvchKb,
-P3uCbay2mQ,Understanding the Vineyards of Argentina for WSET,https://www.youtube.com/watch?v=-P3uCbay2mQ,Wine With Jimmy,1008,,PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn,WSET Diploma - Unit 3 - Mastering Still Wines of the World,https://youtube.com/playlist?list=PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn&si=Ke6rDLHZ_u3UZPtp,
-P74Qh-YnNA,Loire Valley Wine Basics: Muscadet & Melon Blanc Explained - WSET & Wine Lover Guide,https://www.youtube.com/watch?v=-P74Qh-YnNA,Wine With Jimmy,587,,PLHvqIB13xXh2LYc0V3PME6RSYirmhZ0j3; PLHvqIB13xXh2p_cuTnddrE9TJyBRDECXr; PLHvqIB13xXh2cUC1I-M-gckve9b44UpVS,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions; Grape Varieties for WSET Level 3,https://youtube.com/playlist?list=PLHvqIB13xXh2LYc0V3PME6RSYirmhZ0j3&si=ijlTv4liJ4NvchKb; https://youtube.com/playlist?list=PLHvqIB13xXh2p_cuTnddrE9TJyBRDECXr&si=NDgTSYsBiFL7WNyK; https://youtube.com/playlist?list=PLHvqIB13xXh2cUC1I-M-gckve9b44UpVS&si=-YZS9EPWhYSspcXd,
-QCp0iTQVYY,Exploring Australian Climate and Geology for WSET Level 4 Diploma🍷,https://www.youtube.com/watch?v=-QCp0iTQVYY,Wine With Jimmy,671,,PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn,WSET Diploma - Unit 3 - Mastering Still Wines of the World,https://youtube.com/playlist?list=PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn&si=Ke6rDLHZ_u3UZPtp,
-U9hytxv71s,[Private video],https://www.youtube.com/watch?v=-U9hytxv71s,Wine With Jimmy,,,PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn,WSET Diploma - Unit 3 - Mastering Still Wines of the World,https://youtube.com/playlist?list=PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn&si=Ke6rDLHZ_u3UZPtp,
-eZvn1OySHA,Understanding the Rheingau and German Wine Laws for WSET L3 including working written question,https://www.youtube.com/watch?v=-eZvn1OySHA,Wine With Jimmy,2183,,PLHvqIB13xXh2LYc0V3PME6RSYirmhZ0j3,Understanding WSET Level 3 Wine Theory,https://youtube.com/playlist?list=PLHvqIB13xXh2LYc0V3PME6RSYirmhZ0j3&si=ijlTv4liJ4NvchKb,
-nV6glA4SO4,WSET Level 4 Diploma D3 Introduction to Chianti,https://www.youtube.com/watch?v=-nV6glA4SO4,Wine With Jimmy,970,,PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn,WSET Diploma - Unit 3 - Mastering Still Wines of the World,https://youtube.com/playlist?list=PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn&si=Ke6rDLHZ_u3UZPtp,
0BoeJegd12o,How to pass your WSET Level 3 Theory Exam!,https://www.youtube.com/watch?v=0BoeJegd12o,Wine With Jimmy,1867,,PLHvqIB13xXh2LYc0V3PME6RSYirmhZ0j3; PLHvqIB13xXh2p_cuTnddrE9TJyBRDECXr,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,https://youtube.com/playlist?list=PLHvqIB13xXh2LYc0V3PME6RSYirmhZ0j3&si=ijlTv4liJ4NvchKb; https://youtube.com/playlist?list=PLHvqIB13xXh2p_cuTnddrE9TJyBRDECXr&si=NDgTSYsBiFL7WNyK,
0KUd6CrDvno,Discover Barossa for WSET Diploma,https://www.youtube.com/watch?v=0KUd6CrDvno,Wine With Jimmy,1042,,PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn,WSET Diploma - Unit 3 - Mastering Still Wines of the World,https://youtube.com/playlist?list=PLHvqIB13xXh0gTZUlK524pUqXApwTKXyn&si=Ke6rDLHZ_u3UZPtp,
